21:56:08 p.m. Name : 0 ==> Episode : 10 ; Steps : 77 ; Reward : 6.1 ; Epsilon : 0.1
21:56:08 p.m. Name : 1 ==> Episode : 10 ; Steps : 140 ; Reward : 5.2 ; Epsilon : 0.1
21:56:08 p.m. Name : 2 ==> Episode : 10 ; Steps : 200 ; Reward : -0.8 ; Epsilon : 0.1
21:56:08 p.m. Name : 3 ==> Episode : 10 ; Steps : 43 ; Reward : 5.3 ; Epsilon : 0.1
21:56:08 p.m. Name : 4 ==> Episode : 10 ; Steps : 200 ; Reward : -3.199999 ; Epsilon : 0.1
21:56:08 p.m. Name : 5 ==> Episode : 10 ; Steps : 1 ; Reward : 4.9 ; Epsilon : 0.1
21:56:08 p.m. Name : 6 ==> Episode : 10 ; Steps : 200 ; Reward : -0.8 ; Epsilon : 0.1
21:56:08 p.m. Name : 7 ==> Episode : 10 ; Steps : 200 ; Reward : -2.999999 ; Epsilon : 0.1
21:56:09 p.m. Name : 8 ==> Episode : 10 ; Steps : 200 ; Reward : -0.8 ; Epsilon : 0.1
21:56:09 p.m. Name : 9 ==> Episode : 10 ; Steps : 1 ; Reward : 4.9 ; Epsilon : 0.1
21:56:09 p.m. Name : 10 ==> Episode : 10 ; Steps : 200 ; Reward : -2.799999 ; Epsilon : 0.1
21:56:09 p.m. Name : 11 ==> Episode : 10 ; Steps : 200 ; Reward : -3.999998 ; Epsilon : 0.1
21:56:19 p.m. Name : 0 ==> Episode : 11 ; Steps : 66 ; Reward : 6.4 ; Epsilon : 0.1
21:56:19 p.m. Name : 1 ==> Episode : 11 ; Steps : 200 ; Reward : -1.6 ; Epsilon : 0.1
21:56:19 p.m. Name : 2 ==> Episode : 11 ; Steps : 9 ; Reward : 5.7 ; Epsilon : 0.1
21:56:19 p.m. Name : 3 ==> Episode : 11 ; Steps : 27 ; Reward : 5.5 ; Epsilon : 0.1
21:56:19 p.m. Name : 4 ==> Episode : 11 ; Steps : 83 ; Reward : 6.1 ; Epsilon : 0.1
21:56:19 p.m. Name : 5 ==> Episode : 11 ; Steps : 79 ; Reward : 6.1 ; Epsilon : 0.1
21:56:20 p.m. Name : 6 ==> Episode : 11 ; Steps : 200 ; Reward : -0.5999999 ; Epsilon : 0.1
21:56:20 p.m. Name : 7 ==> Episode : 11 ; Steps : 10 ; Reward : 5.4 ; Epsilon : 0.1
21:56:20 p.m. Name : 8 ==> Episode : 11 ; Steps : 200 ; Reward : -1.8 ; Epsilon : 0.1
21:56:20 p.m. Name : 9 ==> Episode : 11 ; Steps : 200 ; Reward : -2.6 ; Epsilon : 0.1
21:56:20 p.m. Name : 10 ==> Episode : 11 ; Steps : 200 ; Reward : -1.8 ; Epsilon : 0.1
21:56:20 p.m. Name : 11 ==> Episode : 11 ; Steps : 1 ; Reward : 5.1 ; Epsilon : 0.1
21:56:32 p.m. Name : 0 ==> Episode : 12 ; Steps : 8 ; Reward : 5.4 ; Epsilon : 0.1
21:56:32 p.m. Name : 1 ==> Episode : 12 ; Steps : 200 ; Reward : -2.6 ; Epsilon : 0.1
21:56:32 p.m. Name : 2 ==> Episode : 12 ; Steps : 43 ; Reward : 6.1 ; Epsilon : 0.1
21:56:32 p.m. Name : 3 ==> Episode : 12 ; Steps : 200 ; Reward : -1.2 ; Epsilon : 0.1
21:56:32 p.m. Name : 4 ==> Episode : 12 ; Steps : 200 ; Reward : -3.199999 ; Epsilon : 0.1
21:56:32 p.m. Name : 5 ==> Episode : 12 ; Steps : 200 ; Reward : -3.399999 ; Epsilon : 0.1
21:56:32 p.m. Name : 6 ==> Episode : 12 ; Steps : 40 ; Reward : 6 ; Epsilon : 0.1
21:56:32 p.m. Name : 7 ==> Episode : 12 ; Steps : 13 ; Reward : 6.1 ; Epsilon : 0.1
21:56:32 p.m. Name : 8 ==> Episode : 12 ; Steps : 200 ; Reward : -0.8000001 ; Epsilon : 0.1
21:56:33 p.m. Name : 9 ==> Episode : 12 ; Steps : 200 ; Reward : -3.799999 ; Epsilon : 0.1
21:56:33 p.m. Name : 10 ==> Episode : 12 ; Steps : 84 ; Reward : 5.8 ; Epsilon : 0.1
21:56:33 p.m. Name : 11 ==> Episode : 12 ; Steps : 200 ; Reward : -1.2 ; Epsilon : 0.1
21:56:44 p.m. Name : 0 ==> Episode : 13 ; Steps : 200 ; Reward : -2.6 ; Epsilon : 0.1
21:56:44 p.m. Name : 1 ==> Episode : 13 ; Steps : 200 ; Reward : -1.8 ; Epsilon : 0.1
21:56:44 p.m. Name : 2 ==> Episode : 13 ; Steps : 19 ; Reward : 5.5 ; Epsilon : 0.1
21:56:44 p.m. Name : 3 ==> Episode : 13 ; Steps : 200 ; Reward : -2.6 ; Epsilon : 0.1
21:56:44 p.m. Name : 4 ==> Episode : 13 ; Steps : 164 ; Reward : 4.8 ; Epsilon : 0.1
21:56:44 p.m. Name : 5 ==> Episode : 13 ; Steps : 99 ; Reward : 6.1 ; Epsilon : 0.1
21:56:44 p.m. Name : 6 ==> Episode : 13 ; Steps : 87 ; Reward : 5.5 ; Epsilon : 0.1
21:56:44 p.m. Name : 7 ==> Episode : 13 ; Steps : 200 ; Reward : -2.2 ; Epsilon : 0.1
21:56:44 p.m. Name : 8 ==> Episode : 13 ; Steps : 200 ; Reward : -2 ; Epsilon : 0.1
21:56:44 p.m. Name : 9 ==> Episode : 13 ; Steps : 1 ; Reward : 5.1 ; Epsilon : 0.1
21:56:45 p.m. Name : 10 ==> Episode : 13 ; Steps : 8 ; Reward : 5.4 ; Epsilon : 0.1
21:56:45 p.m. Name : 11 ==> Episode : 13 ; Steps : 1 ; Reward : 4.9 ; Epsilon : 0.1
21:56:59 p.m. Name : 0 ==> Episode : 14 ; Steps : 200 ; Reward : -2.2 ; Epsilon : 0.1
21:56:59 p.m. Name : 1 ==> Episode : 14 ; Steps : 200 ; Reward : -3.999998 ; Epsilon : 0.1
21:56:59 p.m. Name : 2 ==> Episode : 14 ; Steps : 200 ; Reward : -2.4 ; Epsilon : 0.1
21:56:59 p.m. Name : 3 ==> Episode : 14 ; Steps : 200 ; Reward : -1.8 ; Epsilon : 0.1
21:57:00 p.m. Name : 4 ==> Episode : 14 ; Steps : 200 ; Reward : -2.999999 ; Epsilon : 0.1
21:57:00 p.m. Name : 5 ==> Episode : 14 ; Steps : 28 ; Reward : 5.6 ; Epsilon : 0.1
21:57:00 p.m. Name : 6 ==> Episode : 14 ; Steps : 200 ; Reward : -3.799999 ; Epsilon : 0.1
21:57:00 p.m. Name : 7 ==> Episode : 14 ; Steps : 200 ; Reward : -0.8000001 ; Epsilon : 0.1
21:57:00 p.m. Name : 8 ==> Episode : 14 ; Steps : 200 ; Reward : -2.2 ; Epsilon : 0.1
21:57:00 p.m. Name : 9 ==> Episode : 14 ; Steps : 200 ; Reward : -0.2 ; Epsilon : 0.1
21:57:00 p.m. Name : 10 ==> Episode : 14 ; Steps : 184 ; Reward : 6 ; Epsilon : 0.1
21:57:00 p.m. Name : 11 ==> Episode : 14 ; Steps : 29 ; Reward : 5.3 ; Epsilon : 0.1
21:57:15 p.m. Name : 0 ==> Episode : 15 ; Steps : 197 ; Reward : 3.7 ; Epsilon : 0.1
21:57:15 p.m. Name : 1 ==> Episode : 15 ; Steps : 200 ; Reward : -3.199999 ; Epsilon : 0.1
21:57:15 p.m. Name : 2 ==> Episode : 15 ; Steps : 200 ; Reward : -1.8 ; Epsilon : 0.1
21:57:15 p.m. Name : 3 ==> Episode : 15 ; Steps : 200 ; Reward : -1.4 ; Epsilon : 0.1
21:57:15 p.m. Name : 4 ==> Episode : 15 ; Steps : 200 ; Reward : -2.4 ; Epsilon : 0.1
21:57:15 p.m. Name : 5 ==> Episode : 15 ; Steps : 200 ; Reward : -2.799999 ; Epsilon : 0.1
21:57:15 p.m. Name : 6 ==> Episode : 15 ; Steps : 44 ; Reward : 5.8 ; Epsilon : 0.1
21:57:15 p.m. Name : 7 ==> Episode : 15 ; Steps : 200 ; Reward : -2.799999 ; Epsilon : 0.1
21:57:16 p.m. Name : 8 ==> Episode : 15 ; Steps : 59 ; Reward : 5.7 ; Epsilon : 0.1
21:57:16 p.m. Name : 9 ==> Episode : 15 ; Steps : 200 ; Reward : 0.2 ; Epsilon : 0.1
21:57:16 p.m. Name : 10 ==> Episode : 15 ; Steps : 200 ; Reward : -2.2 ; Epsilon : 0.1
21:57:16 p.m. Name : 11 ==> Episode : 15 ; Steps : 164 ; Reward : 4.8 ; Epsilon : 0.1
21:57:25 p.m. Name : 0 ==> Episode : 16 ; Steps : 19 ; Reward : 5.3 ; Epsilon : 0.1
21:57:26 p.m. Name : 1 ==> Episode : 16 ; Steps : 20 ; Reward : 5.8 ; Epsilon : 0.1
21:57:26 p.m. Name : 2 ==> Episode : 16 ; Steps : 3 ; Reward : 5.3 ; Epsilon : 0.1
21:57:26 p.m. Name : 3 ==> Episode : 16 ; Steps : 43 ; Reward : 6.1 ; Epsilon : 0.1
21:57:26 p.m. Name : 4 ==> Episode : 16 ; Steps : 200 ; Reward : 1.490116E-08 ; Epsilon : 0.1
21:57:26 p.m. Name : 5 ==> Episode : 16 ; Steps : 129 ; Reward : 5.7 ; Epsilon : 0.1
21:57:26 p.m. Name : 6 ==> Episode : 16 ; Steps : 200 ; Reward : -1.2 ; Epsilon : 0.1
21:57:26 p.m. Name : 7 ==> Episode : 16 ; Steps : 200 ; Reward : -2.799999 ; Epsilon : 0.1
21:57:26 p.m. Name : 8 ==> Episode : 16 ; Steps : 200 ; Reward : -1.2 ; Epsilon : 0.1
21:57:26 p.m. Name : 9 ==> Episode : 16 ; Steps : 13 ; Reward : 5.5 ; Epsilon : 0.1
21:57:26 p.m. Name : 10 ==> Episode : 16 ; Steps : 47 ; Reward : 6.3 ; Epsilon : 0.1
21:57:27 p.m. Name : 11 ==> Episode : 16 ; Steps : 185 ; Reward : 4.3 ; Epsilon : 0.1
21:57:38 p.m. Name : 0 ==> Episode : 17 ; Steps : 200 ; Reward : -4.199998 ; Epsilon : 0.1
21:57:38 p.m. Name : 1 ==> Episode : 17 ; Steps : 16 ; Reward : 5.6 ; Epsilon : 0.1
21:57:38 p.m. Name : 2 ==> Episode : 17 ; Steps : 13 ; Reward : 5.5 ; Epsilon : 0.1
21:57:38 p.m. Name : 3 ==> Episode : 17 ; Steps : 200 ; Reward : -3.199999 ; Epsilon : 0.1
21:57:38 p.m. Name : 4 ==> Episode : 17 ; Steps : 200 ; Reward : -2.6 ; Epsilon : 0.1
21:57:38 p.m. Name : 5 ==> Episode : 17 ; Steps : 186 ; Reward : 4.6 ; Epsilon : 0.1
21:57:38 p.m. Name : 6 ==> Episode : 17 ; Steps : 200 ; Reward : -2 ; Epsilon : 0.1
21:57:38 p.m. Name : 7 ==> Episode : 17 ; Steps : 200 ; Reward : -0.8000001 ; Epsilon : 0.1
21:57:38 p.m. Name : 8 ==> Episode : 17 ; Steps : 1 ; Reward : 5.1 ; Epsilon : 0.1
21:57:39 p.m. Name : 9 ==> Episode : 17 ; Steps : 3 ; Reward : 5.1 ; Epsilon : 0.1
21:57:39 p.m. Name : 10 ==> Episode : 17 ; Steps : 11 ; Reward : 5.7 ; Epsilon : 0.1
21:57:39 p.m. Name : 11 ==> Episode : 17 ; Steps : 200 ; Reward : -1.4 ; Epsilon : 0.1
21:57:51 p.m. Name : 0 ==> Episode : 18 ; Steps : 200 ; Reward : -0.3999999 ; Epsilon : 0.1
21:57:51 p.m. Name : 1 ==> Episode : 18 ; Steps : 16 ; Reward : 5 ; Epsilon : 0.1
21:57:51 p.m. Name : 2 ==> Episode : 18 ; Steps : 200 ; Reward : -0.2 ; Epsilon : 0.1
21:57:51 p.m. Name : 3 ==> Episode : 18 ; Steps : 200 ; Reward : -2.799999 ; Epsilon : 0.1
21:57:51 p.m. Name : 4 ==> Episode : 18 ; Steps : 30 ; Reward : 6.4 ; Epsilon : 0.1
21:57:51 p.m. Name : 5 ==> Episode : 18 ; Steps : 27 ; Reward : 5.7 ; Epsilon : 0.1
21:57:51 p.m. Name : 6 ==> Episode : 18 ; Steps : 200 ; Reward : -2.4 ; Epsilon : 0.1
21:57:51 p.m. Name : 7 ==> Episode : 18 ; Steps : 135 ; Reward : 4.3 ; Epsilon : 0.1
21:57:52 p.m. Name : 8 ==> Episode : 18 ; Steps : 200 ; Reward : -1.6 ; Epsilon : 0.1
21:57:52 p.m. Name : 9 ==> Episode : 18 ; Steps : 137 ; Reward : 5.9 ; Epsilon : 0.1
21:57:52 p.m. Name : 10 ==> Episode : 18 ; Steps : 200 ; Reward : -3.399999 ; Epsilon : 0.1
21:57:52 p.m. Name : 11 ==> Episode : 18 ; Steps : 7 ; Reward : 5.1 ; Epsilon : 0.1
21:58:08 p.m. Name : 0 ==> Episode : 19 ; Steps : 200 ; Reward : -1 ; Epsilon : 0.1
21:58:08 p.m. Name : 1 ==> Episode : 19 ; Steps : 200 ; Reward : -3.199999 ; Epsilon : 0.1
21:58:08 p.m. Name : 2 ==> Episode : 19 ; Steps : 200 ; Reward : -1.8 ; Epsilon : 0.1
21:58:08 p.m. Name : 3 ==> Episode : 19 ; Steps : 200 ; Reward : -1.4 ; Epsilon : 0.1
21:58:08 p.m. Name : 4 ==> Episode : 19 ; Steps : 200 ; Reward : -2.2 ; Epsilon : 0.1
21:58:08 p.m. Name : 5 ==> Episode : 19 ; Steps : 170 ; Reward : 5.2 ; Epsilon : 0.1
21:58:08 p.m. Name : 6 ==> Episode : 19 ; Steps : 200 ; Reward : -2.6 ; Epsilon : 0.1
21:58:09 p.m. Name : 7 ==> Episode : 19 ; Steps : 200 ; Reward : -2 ; Epsilon : 0.1
